9.0938 	EXP 	Created Nbackinstructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Nbackinstructions', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1.75)
9.1154 	EXP 	Created NbackInstructionImg = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='instruction_stim/1.png', interpolate=True, mask=None, maskParams=None, name='NbackInstructionImg', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), size=array([0.3, 0.3]), texRes=128, units='height', win=Window(...))
9.1607 	EXP 	Created NbackInstructionWideImg = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='instruction_stim/3.png', interpolate=True, mask=None, maskParams=None, name='NbackInstructionWideImg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1. , 0.3]), texRes=128, units='height', win=Window(...))
9.1622 	EXP 	Created ClickPrompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ClickPrompt', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
9.1820 	EXP 	Created box1Text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='box1Text', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=array([255., 255., 255.]), text='Button/key 1 \nindicates "Yes", a match.', units='height', win=Window(...), wrapWidth=1)
9.2155 	EXP 	Created box2Text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='box2Text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.1]), rgb=array([255., 255., 255.]), text='Button/key 2 \nindicates "No", a mismatch.', units='height', win=Window(...), wrapWidth=1)
9.2256 	EXP 	Created box1Check = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='box1Check', opacity=1.0, ori=0.0, pos=array([-0.2 ,  0.15]), rgb=array([255.,   0.,   0.]), text='X', units='height', win=Window(...), wrapWidth=1)
9.2305 	EXP 	Created box2Check = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='box2Check', opacity=1.0, ori=0.0, pos=array([-0.2 , -0.05]), rgb=array([255.,   0.,   0.]), text='X', units='height', win=Window(...), wrapWidth=1)
9.2354 	EXP 	Created box1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='box1', opacity=1.0, ori=array(0.), pos=array([-0.2 ,  0.15]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...))
9.2396 	EXP 	Created box2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='box2', opacity=1.0, ori=array(0.), pos=array([-0.2 , -0.05]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...))
9.2398 	EXP 	window1: mouseVisible = True
9.2510 	EXP 	Created continueText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='continueText', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.35]), rgb=array([255., 255., 255.]), text='Experimenter press [Space] to continue.', units='height', win=Window(...), wrapWidth=1)
9.2525 	EXP 	Created Feedback = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Feedback', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.35]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
